,EPDL97 Energy [keV],S1 EPDL97 EA [cm^2],S2 EPDL97 EA [cm^2],S3 EPDL97 EA [cm^2],S4 EPDL97 EA [cm^2],S5 EPDL97 EA [cm^2],S6 EPDL97 EA [cm^2],S7 EPDL97 EA [cm^2]
177,7.7394799999999995,3.326230334068757,3.118268891132552,2.905062939895299,2.689338989588115,2.4734381271846977,2.3141749790791826,2.106079384673269
178,7.77755,3.317276590715825,3.1109725601415805,2.899158249378837,2.684608912089287,2.4696919373055914,2.310942656821774,2.1035738675257876
179,7.8156300000000005,3.3083278662773288,3.103680758220126,2.8932657754634437,2.6798861284647826,2.4659522512283583,2.3077163258938507,2.1010736530600997
180,7.85371,3.2993791418388327,3.096393485368188,2.8873733015480503,2.6751669917774397,2.462215817052062,2.304495986295412,2.0985760899353085
181,7.89178,3.290435436314772,3.089110741585766,2.8814889720333694,2.6704587959015824,2.4584891385785763,2.30128163802646,2.096083829492311
182,7.92986,3.281491730790711,3.081837055942377,2.875612786919401,2.6657542469628868,2.4547657120060267,2.298073281086993,2.0935995230720037
183,7.96794,3.2725480252666506,3.0745633702989883,2.8697406740057883,2.6610569918985147,2.4510487892353505,2.294870915477011,2.0911178679925935
184,8.00601,3.263609338657025,3.0672987427946325,2.8638767054928884,2.6563633837713043,2.4473383702665483,2.291674541196515,2.088644166935874
185,8.04409,3.254675670961835,3.060038644359793,2.8580168091803446,2.6516807164555796,2.4436344550996196,2.2884841582455047,2.0861757685609477
186,8.08216,3.245742003266645,3.052787604063986,2.8521650572685133,2.6470016960770164,2.4399402956355005,2.2852997666239796,2.0837126728678146
187,8.120239999999999,3.2368083355714554,3.0455365637681795,2.846321449757394,2.642333616509939,2.4362493880723184,2.28212136633194,2.081252228515579
188,8.15832,3.2278796867907014,3.0382945816114053,2.8404859866469874,2.6376691838800226,2.4325649843110098,2.2789489573693853,2.0788023895269303
189,8.19639,3.2189510380099473,3.031057128524148,2.8346545957369367,2.633015692061592,2.428890336252511,2.275782539736317,2.0763552018791787
190,8.23447,3.210027408143628,3.023828733575924,2.8288354214279545,2.6283658471803233,2.425222191995886,2.272625109097476,2.073915968254117
191,8.272540000000001,3.2011037782773095,3.0166048676972155,2.823020319319329,2.6237269431105394,2.4215605515411345,2.269473669788121,2.071482037310849
192,8.31062,3.1921851673254262,3.009385530888024,2.8172133616114152,2.6190953329150792,2.4179054148882564,2.2663282218082514,2.069053409049375
193,8.348700000000001,3.182709456871202,3.0016996999186394,2.8110073282685963,2.614124557563574,2.4139673628538834,2.262931137989992,2.0664153248570534
194,8.38677,3.1725009849093957,2.993388857355988,2.8042719088794734,2.6087088558783313,2.4096520903108503,2.259198539720547,2.063498849870567
195,8.424850000000001,3.162277456204282,2.9850689566543034,2.797532417289995,2.6032895072559272,2.4053400696687537,2.255465941451101,2.0605823748840804
196,8.46293,3.152043889670298,2.9767445268831025,2.790792925700516,2.5978738055706843,2.4010247971257206,2.251733343181656,2.057665899897594
197,8.501,3.141790247478572,2.9684155680423854,2.7840493619106805,2.5924544569482797,2.396712776483624,2.248000744912211,2.054752076252004
198,8.53908,3.1315165296291037,2.9600730219931184,2.77730172592049,2.5870314613887135,2.392397503940591,2.2442681466427654,2.0518382526064145
199,8.57715,3.121232773950764,2.951725946874335,2.7705540899302985,2.5816121127663094,2.3880854832984943,2.240538544038063,2.048924428960825
200,8.61523,3.1109289426146827,2.9433698136165196,2.763798309539395,2.576189117206743,2.3837734626563982,2.23680894143336,2.0460132566561318
201,8.65331,3.1006100545352955,2.935009151289187,2.757042529148491,2.5707661216471767,2.3794614420143017,2.2330793388286576,2.0431020843514394
202,8.691379999999999,3.0901958070816327,2.9265805529191082,2.7502378823533133,2.565303009778831,2.375116902362838,2.2293227752412705,2.0401723526604685
203,8.72946,3.0796460489382125,2.9180432568806345,2.743347719350656,2.559777899978735,2.3707203322963863,2.225521276682742,2.0372028508560462
204,8.76754,3.069071196222614,2.9094969027031286,2.7364534841476424,2.5542454963043157,2.366327014130872,2.2217167824594712,2.03423600039252
205,8.80561,3.0584762678492736,2.9009414903865895,2.7295551767442725,2.5487167395670576,2.361930444064421,2.217918279565686,2.031269149928994
206,8.84369,3.047856244903756,2.892372490861501,2.7226527971405465,2.5431843358926383,2.357537125898906,2.214116781007158,2.0283049508063655
207,8.88176,3.037211127386061,2.883798962266897,2.7157504175368206,2.5376519322182185,2.353140555832455,2.2103182781133723,2.0253407516837365
208,8.91984,3.026540915296188,2.875211846463743,2.708839893532382,2.532119528543799,2.3487472376669407,2.206519775219587,2.0223792039020045
209,8.95792,3.015850627548573,2.8666156725215557,2.7019252973275876,2.5265871248693794,2.3443571714023625,2.2027242679905443,2.019420307461169
210,8.995989999999999,3.0051302263143453,2.85800591137082,2.695010701122793,2.52105472119496,2.339963853236848,2.198928760761502,2.0164614110203334
211,9.03407,2.994379711593505,2.849387092081051,2.6880879605172856,2.5155186705833787,2.33557378697227,2.1951362491972013,2.013502514579498
212,9.07214,2.9836041023004864,2.8407546855827324,2.6811652199117786,2.509986266908959,2.331183720707692,2.1913437376329017,2.0105489208204568
213,9.11022,2.9727983795208552,2.832113220945381,2.6742343349055595,2.5044502162973776,2.3267969063440512,2.1875542217333446,2.0075953270614146
214,9.148299999999999,2.961962543254611,2.823453640029965,2.66730344989934,2.4989141656857963,2.32241009198041,2.1837647058337875,2.0046443846432696
215,9.18637,2.9510965935017537,2.814789530045031,2.6603684926927644,2.493381762011377,2.3180232776167693,2.17997518993423,2.0016960935660215
216,9.224450000000001,2.9401955113478477,2.8061073037820323,2.653425391085477,2.487845711399795,2.3136397151540646,2.1761916653641578,1.9987478024887733
217,9.26253,2.929259296792894,2.797411490310484,2.6464822894781888,2.4823096607882142,2.3092561526913604,2.1724081407940865,1.995802162752422
218,9.300600000000001,2.918287949836891,2.7887066186999028,2.6395310434701886,2.476773610176633,2.3048758421295927,2.1686276118887573,1.9928618256978643
219,9.33868,2.907276451565404,2.7799836308112558,2.6325797974621885,2.4712375595650515,2.300495531567825,2.164847082983428,1.9899214886433068
220,9.37675,2.8962298208928687,2.7712470557140594,2.625620407053476,2.46570150895347,2.296118472906994,2.161069549742842,1.9869838029296458
221,9.41483,2.8851380199904137,2.7624923643387977,2.6186610166447633,2.460165458341889,2.2917446661470997,2.1572950121669985,1.9840487685568815
222,9.45291,2.8740060677724757,2.7537240857549863,2.611693481835338,2.454633054667469,2.2873708593872055,2.1535204745911547,1.9811163855250145
223,9.49098,2.862828945324617,2.744942219962626,2.604721874825557,2.4490970040558877,2.283000304528248,2.1497519283447963,1.978184002493147
224,9.52906,2.851601633732404,2.736137708822683,2.5977461956154198,2.443560953444307,2.27862974966929,2.1459833820984384,1.9752569221430734
225,9.567129999999999,2.8398774496110764,2.726948226773844,2.5904610291782126,2.4377732641685625,2.2740543250513197,2.1420321003027736,1.9721787153618817
226,9.60521,2.8269386881963574,2.7167895238484876,2.5823858558719066,2.4313364200780216,2.268939084877852,2.1376045078130144,1.9687107614688597
227,9.64329,2.8139146052362354,2.7065945883670013,2.5742862493634635,2.4248849882388335,2.263820592803448,2.133173919658512,1.9652401562349409
228,9.68136,2.800800181816274,2.696349833120833,2.5661703540535954,2.418426262525322,2.2586923450262337,2.1287403358392676,1.961766899660125
229,9.71944,2.787595417936474,2.6860688453185335,2.5580300255415906,2.411952949063163,2.253560845348083,2.124300760690537,1.9582909917444127
230,9.757520000000001,2.774285256853528,2.6757380377515534,2.549869336027805,2.4054723417266812,2.248426093768995,2.119855194212321,1.9548124324878031
231,9.79559,2.7608696985674372,2.6653619394894097,2.5416882855122385,2.3989771466415517,2.243281586487097,2.1154066320693627,1.9513312218902972
232,9.83367,2.7473437241637653,2.6549405505321007,2.5334828017945346,2.392474657682099,2.238130575403326,2.110955074261662,1.947850011292791
233,9.871739999999999,2.7337073336425117,2.644464812740595,2.5252528848746936,2.385957580973999,2.2329763124186175,2.1064975251244746,1.9443634980134912
234,9.90982,2.7199404513459355,2.6339347261148918,2.5169985347527155,2.3794295634544134,2.2278155456320365,2.1020399759872883,1.9408769847341916
235,9.947899999999999,2.706048096188472,2.623354819724508,2.5087197514286004,2.372890605123343,2.222648275043581,2.097573439855873,1.9373878201139951
236,9.98597,2.69202023034125,2.6127160354304104,2.500416534902348,2.366337059043625,2.217474500653253,2.0931069037244585,1.9338960041529016
237,10.024,2.677846815975398,2.602013844163083,2.492084812973603,2.3597725721524214,2.212297474361988,2.088634376263558,1.9304041881918084
238,10.062100000000001,2.6635178152620456,2.591252774992042,2.483724585642364,2.353197144449733,2.2071106923679125,2.0841558574731724,1.9269070695489214
239,10.100200000000001,2.6490282092867576,2.580428298847771,2.4753399251089885,2.346603482061236,2.2019206584729005,2.0796743430180435,1.9234099509060343
240,10.1383,2.634362941306227,2.5695313575912366,2.466922686972763,2.3400025257984147,2.196720868875078,2.075189832898172,1.9199128322631474
241,10.1764,2.619516992406018,2.5585664802919563,2.4584769434340443,2.333383334849785,2.1915178273763196,2.0707023271135583,1.9164104109384668
242,10.2144,2.603842922623952,2.547085289067803,2.449676918464338,2.3265052113626687,2.1861164199204204,2.066041072773866,1.9127780739098428
243,10.2525,2.5876117533395457,2.5352961211165317,2.4406773556771792,2.3194885042634046,2.180610951634546,2.0612959398213766,1.9090768020179016
244,10.2906,2.571109562675622,2.523402784566383,2.4316289264857462,2.3124499155411704,2.1750957276458616,2.056544815539402,1.905372878785064
245,10.328700000000001,2.5543162749744392,2.511396221278323,2.422539775290751,2.305393092133127,2.169570747954367,2.0517847042631994,1.901666304211329
246,10.366700000000002,2.537201776749385,2.4992764312523525,2.4133976854911254,2.298310740164951,2.1640360125600617,2.0470186016575114,1.897954426955801
247,10.4048,2.5197459923427163,2.487029827279922,2.404206729287226,2.2912065065738045,2.1584882695620102,2.042243512057595,1.894239898359376
248,10.4429,2.5019188082678205,2.474651880291515,2.39495876227834,2.284080391359687,2.1529307708611487,2.0374654267929357,1.890522718422054
249,10.481,2.4836951299525207,2.4621335321480986,2.3856578566648237,2.276928747585438,2.1473635164574763,2.0326753588693056,1.8868028871438354
250,10.519,2.4650297871668965,2.4494702537801563,2.3762999402463207,2.2697515752510555,2.141786506350994,2.0278822952809326,1.88308040452472
251,10.5571,2.4458926664243354,2.4366484579791385,2.366880940822475,2.2625488743565407,2.136193236739828,2.023080244698332,1.879352619223811
252,10.5952,2.4262385974949177,2.4236590866060133,2.3573967861929304,2.255320644901894,2.130593463326789,2.0182692071215027,1.8756221825820052
253,10.633299999999998,2.4037638986527496,2.4091162443887524,2.3468945814743405,2.2473703218892145,2.1244538743582537,2.013002828503778,1.871539117600924
254,10.671299999999999,2.380265341265739,2.394183902193078,2.3362131999400795,2.2393142376988435,2.118245995470047,2.007685523585427,1.8674215851881846
255,10.7094,2.3558332657937258,2.3789616995483516,2.3254137245954887,2.2312070963882076,2.1120153532752832,2.0023502446786194,1.8632934474118577
256,10.7475,2.3303522372046928,2.3634224620374757,2.314496155440568,2.223048897957307,2.105761947773962,1.9969969917833557,1.8591573556128405
